"Label Name","Catalog #",UPC,"Release Name","Release Version","Release Artist","Release Date","Release Genre","Release Subgenre",Track,ISRC,"Song Name","Mix Version","Primary Artists","Featuring Artists",Remixers,"Track Length","Song Genre","Song Subgenre"
"Build It Records",BLDR046,811868703060,"Slightly Transformed / Stamper",,Lunoize,2015-07-27,Dance,"Tech House",1,USLZJ1529871,"Slightly Transformed",,"Lunoize,Alex Willson",,,04:57,Dance,"Tech House"
"Build It Records",BLDR046,811868703060,"Slightly Transformed / Stamper",,Lunoize,2015-07-27,Dance,"Tech House",2,USLZJ1529872,Stamper,,"Lunoize,Alex Willson",,,05:25,Dance,"Tech House"
"Build It Records",BLDR050,811868723358,"And Again",,"Cam Northwest",2015-07-22,Dance,"Deep House",1,USLZJ1536132,"And Again",,"Cam Northwest",,,05:28,Dance,"Deep House"
"Build It Records",BLDR044,811868700816,"Booty Hoes",,"Smookie Illson",2015-07-20,Dance,House,1,USLZJ1529442,"Booty Hoes (feat. Fly Boi Keno)",,"Smookie Illson","Fly Boi Keno",,03:16,Dance,House
"Build It Records",BLDR044,811868700816,"Booty Hoes",,"Smookie Illson",2015-07-20,Dance,House,2,USLZJ1529443,"Booty Hoes (feat. Fly Boi Keno)","Instrumental Mix","Smookie Illson","Fly Boi Keno",,03:16,Dance,House
"Build It Records",BLDR048,811868717821,AEIOU,,Udachi,2015-07-15,Dance,House,1,USLZJ1534581,AEIOU,,Udachi,,,04:40,Dance,House
"Build It Records",BLDR043,811868696522,"& Friends EP",,"Chris Gresswell",2015-07-13,Dance,House,1,USLZJ1528634,"Think That",,"Chris Gresswell,Gaz Trigg",,,05:17,Dance,House
"Build It Records",BLDR043,811868696522,"& Friends EP",,"Chris Gresswell",2015-07-13,Dance,House,2,USLZJ1528636,"Perfect Situation",,"Chris Gresswell,DJOKO",,,06:53,Dance,House
"Build It Records",BLDR043,811868696522,"& Friends EP",,"Chris Gresswell",2015-07-13,Dance,House,3,USLZJ1528638,Voices,,"Chris Gresswell,Gaz Trigg",,,04:11,Dance,"Deep House"
"Build It Records",BLDR043,811868696522,"& Friends EP",,"Chris Gresswell",2015-07-13,Dance,House,4,USLZJ1528639,"The Summit",,"Chris Gresswell",,,04:37,Dance,House
"Build It Records",BLDR043,811868696522,"& Friends EP",,"Chris Gresswell",2015-07-13,Dance,House,5,USLZJ1528641,24/7,,"Chris Gresswell",,,05:34,Dance,House
"Build It Records",BLDR042,811868691190,"Makaveli / Gotta",,DopekidJay,2015-07-06,Dance,House,1,USLZJ1527423,Makaveli,,"DopekidJay,Sadkiel",,,04:12,Dance,House
"Build It Records",BLDR042,811868691190,"Makaveli / Gotta",,DopekidJay,2015-07-06,Dance,House,2,USLZJ1527424,Gotta,,DopekidJay,,,04:23,Dance,House
"Build It Records",BLDR041,811868687124,"The Key / Perv",,Ruobin,2015-06-29,Dance,"Tech House",1,USLZJ1525428,"The Key",,Ruobin,,,05:48,Dance,"Tech House"
"Build It Records",BLDR041,811868687124,"The Key / Perv",,Ruobin,2015-06-29,Dance,"Tech House",2,USLZJ1525429,Perv,,Ruobin,,,06:53,Dance,"Tech House"
"Build It Records",BLDR039,811868681191,"Step Outside",,"Cam Northwest",2015-06-22,Dance,"Deep House",1,USLZJ1524216,"Step Outside",,"Cam Northwest",,,05:52,Dance,"Deep House"
"Build It Records",BLDR037,811868695396,"Didn't Want To Hurt You (Vocal VIP)",,Transcode,2015-06-17,Dance,House,1,USLZJ1528325,"Didn't Want To Hurt You","Vocal VIP",Transcode,,,07:12,Dance,House
"Build It Records",BLDR036,811868671727,"While Everyone Sleeps EP",,"Daniels Jack",2015-06-15,Dance,House,1,USLZJ1522246,"Want You",,"Daniels Jack",,,04:29,Dance,"Deep House"
"Build It Records",BLDR036,811868671727,"While Everyone Sleeps EP",,"Daniels Jack",2015-06-15,Dance,House,2,USLZJ1522247,"While Everyone Sleeps",,"Daniels Jack",,,04:54,Dance,"Tech House"
"Build It Records",BLDR036,811868671727,"While Everyone Sleeps EP",,"Daniels Jack",2015-06-15,Dance,House,3,USLZJ1522249,Muse,,"Daniels Jack,Shuhandz",,,04:38,Dance,House
"Build It Records",BLDR045,811868702520,Heat,,Ruobin,2015-06-10,Dance,"Tech House",1,USLZJ1529756,Heat,,Ruobin,,,06:53,Dance,"Tech House"
"Build It Records",BLDR035,811868671710,"Cocaine Bar EP",,FKLS,2015-06-01,Dance,"Tech House",1,USLZJ1522243,"Cocaine Bar",,FKLS,,,06:00,Dance,"Tech House"
"Build It Records",BLDR035,811868671710,"Cocaine Bar EP",,FKLS,2015-06-01,Dance,"Tech House",2,USLZJ1522244,"Don't F Around",,FKLS,,,05:18,Dance,"Tech House"
"Build It Records",BLDR040,811868682341,Juice,,TUSK,2015-05-27,Dance,House,1,USLZJ1524429,Juice,,"TUSK,The Bumpy Fool",,,05:09,Dance,House
"Build It Records",BLDR034,811868666679,Crystals,,"Dude Dempsey",2015-05-25,Dance,House,1,USLZJ1521182,Crystals,,"Dude Dempsey",,,04:33,Dance,House
"Build It Records",BLDR033,811868662138,"I've Found Something",,"James Zed",2015-05-18,Dance,House,1,USLZJ1520254,"I've Found Something",,"James Zed",,,05:00,Dance,House
"Build It Records",BLDR032,811868656137,"Find Me",,Jakzon,2015-05-11,Dance,House,1,USLZJ1519057,"Find Me",,Jakzon,,,05:24,Dance,House
"Build It Records",BLDR038,811868677491,Darkside,,"He Who Dares",2015-05-06,Dance,House,1,USLZJ1523497,Darkside,,"He Who Dares,Catch22",,,04:39,Dance,House
"Build It Records",BLDR030,811868648781,"Didn't Want To Hurt You",,Transcode,2015-04-27,Dance,House,1,USLZJ1517740,"Didn't Want To Hurt You",,Transcode,,,07:12,Dance,House
"Build It Records",BLDR030,811868648781,"Didn't Want To Hurt You",,Transcode,2015-04-27,Dance,House,2,USLZJ1517741,"The Thought Of You",,Transcode,,,06:15,Dance,House
"Build It Records",BLDR027,811868624518,"Hold Me",,"Chris Skapetis",2015-04-20,Dance,House,1,UZLZJ1505908,"Hold Me",,"Chris Skapetis",,,05:25,Dance,House
"Build It Records",BLDR031,811868652412,"The Collection, Vol. 1",,"Various Artists",2015-04-20,Dance,House,1,USLZJ1425833,"Don't You Know",,Burkie,,,05:50,Dance,"Deep House"
